cluster,latitude,longitude,count
0,41.74529375,-87.61841249999999,8
1,41.73913125,-87.62116388888889,4
2,41.92427555555555,-87.70256833333335,5
3,41.771872916666666,-87.64739305555557,4
4,41.80535722222222,-87.66467444444444,5
5,41.92180722222222,-87.70788611111111,5
6,41.76649444444445,-87.64626805555557,4
